100
77;41
54;44
92;34
29;64
79;37
52;91
83;99
95;29
22;79
63;29
44;68
90;27
61;81
78;79
43;39
87;52
75;65
84;45
59;61
33;68
96;25
93;79
23;42
71;82
62;83
37;52
45;38
34;34
75;35
57;78
31;53
23;74
68;58
50;30
44;26
31;52
83;56
47;97
31;55
85;84
68;82
66;26
22;56
96;74
37;84
79;67
69;33
66;58
28;56
80;63
44;52
79;42
77;56
44;98
55;56
34;43
92;80
41;50
68;86
77;44
80;56
79;95
90;38
32;91
89;64
31;50
40;74
44;77
84;61
20;66
28;57
56;81
76;99
41;92
22;79
99;64
50;83
60;84
91;50
59;55
48;72
65;23
46;72
46;24
91;60
25;99
28;40
31;46
56;32
36;89
22;78
43;96
80;44
53;34
69;35
76;72
87;67
54;80
41;27
77;36
0;1;81;2651
1;0;43;3500
2;1;22;2528
3;0;21;3109
4;0;33;1778
5;0;76;4682
6;1;27;3571
7;1;23;725
8;1;99;4298
9;0;49;2912
10;0;27;235
