300
45;44;1;2
7;40;1;2
9;8;1;2
24;46;1;2
33;33;1;2
14;43;1;2
12;39;1;2
20;12;1;2
41;31;1;2
8;49;1;2
29;49;1;2
24;1;1;2
26;34;1;2
38;24;1;2
47;44;1;2
40;10;1;2
21;1;1;2
3;37;1;2
30;26;1;2
49;10;1;2
45;2;1;2
2;24;1;2
45;20;1;2
23;35;1;2
26;38;1;2
33;29;1;2
37;30;1;2
9;34;1;2
32;36;1;2
31;47;1;2
36;18;1;2
42;12;1;2
7;14;1;2
22;20;1;2
41;38;1;2
39;43;1;2
38;29;1;2
8;39;1;2
22;23;1;2
21;47;1;2
6;30;1;2
31;33;1;2
33;31;1;2
20;20;1;2
4;45;1;2
10;14;1;2
45;5;1;2
50;16;1;2
33;47;1;2
29;2;1;2
25;18;1;2
45;48;1;2
32;46;1;2
9;38;1;2
10;7;1;2
6;50;1;2
12;16;1;2
32;20;1;2
42;36;1;2
46;33;1;2
12;40;1;2
15;18;1;2
3;18;1;2
42;43;1;2
50;21;1;2
4;40;1;2
37;24;1;2
24;20;1;2
1;46;1;2
12;8;1;2
49;44;1;2
26;35;1;2
18;16;1;2
12;38;1;2
33;9;1;2
17;4;1;2
48;33;1;2
4;28;1;2
44;8;1;2
41;20;1;2
29;12;1;2
34;28;1;2
37;44;1;2
18;10;1;2
1;23;1;2
17;15;1;2
31;40;1;2
44;16;1;2
26;8;1;2
26;29;1;2
4;30;1;2
29;37;1;2
39;49;1;2
39;35;1;2
18;17;1;2
29;2;1;2
12;6;1;2
39;33;1;2
1;32;1;2
24;43;1;2
31;21;1;2
20;46;1;2
17;49;1;2
14;35;1;2
31;26;1;2
37;41;1;2
45;27;1;2
6;13;1;2
33;17;1;2
30;24;1;2
48;10;1;2
23;47;1;2
9;11;1;2
50;33;1;2
43;44;1;2
21;18;1;2
20;16;1;2
11;29;1;2
23;40;1;2
24;37;1;2
26;12;1;2
24;44;1;2
30;31;1;2
42;16;1;2
31;10;1;2
33;16;1;2
8;50;1;2
42;6;1;2
1;13;1;2
20;45;1;2
15;31;1;2
29;8;1;2
9;48;1;2
10;33;1;2
17;2;1;2
34;45;1;2
29;32;1;2
41;19;1;2
34;50;1;2
37;41;1;2
19;1;1;2
30;45;1;2
10;28;1;2
40;3;1;2
22;30;1;2
40;27;1;2
20;11;1;2
3;10;1;2
13;39;1;2
29;17;1;2
37;34;1;2
21;17;1;2
40;24;1;2
20;1;1;2
4;43;1;2
46;21;1;2
37;30;1;2
47;28;1;2
17;1;1;2
30;3;1;2
6;49;1;2
18;42;1;2
47;36;1;2
50;45;1;2
11;48;1;2
45;49;1;2
40;1;1;2
19;7;1;2
48;5;1;2
41;33;1;2
11;3;1;2
20;13;1;2
28;20;1;2
42;47;1;2
14;49;1;2
20;46;1;2
12;36;1;2
16;47;1;2
8;2;1;2
30;9;1;2
32;9;1;2
43;34;1;2
19;5;1;2
8;24;1;2
45;25;1;2
24;17;1;2
20;4;1;2
38;34;1;2
24;41;1;2
49;38;1;2
23;25;1;2
13;11;1;2
34;24;1;2
4;22;1;2
49;11;1;2
26;37;1;2
37;45;1;2
20;20;1;2
40;11;1;2
48;1;1;2
41;34;1;2
21;10;1;2
40;18;1;2
6;39;1;2
39;45;1;2
10;42;1;2
50;3;1;2
8;1;1;2
48;46;1;2
46;20;1;2
3;9;1;2
20;38;1;2
47;7;1;2
20;48;1;2
3;47;1;2
26;14;1;2
50;28;1;2
46;45;1;2
46;2;1;2
29;25;1;2
8;34;1;2
35;12;1;2
7;37;1;2
45;44;1;2
5;14;1;2
34;33;1;2
22;26;1;2
35;45;1;2
14;47;1;2
30;46;1;2
27;29;1;2
39;24;1;2
25;39;1;2
35;27;1;2
19;39;1;2
35;28;1;2
23;10;1;2
23;20;1;2
3;15;1;2
13;25;1;2
41;44;1;2
7;14;1;2
28;23;1;2
8;1;1;2
30;31;1;2
48;1;1;2
4;31;1;2
47;38;1;2
17;13;1;2
10;37;1;2
22;21;1;2
1;45;1;2
8;21;1;2
7;33;1;2
10;23;1;2
11;2;1;2
27;12;1;2
48;7;1;2
48;28;1;2
17;1;1;2
4;44;1;2
37;22;1;2
42;1;1;2
23;1;1;2
2;10;1;2
50;29;1;2
9;13;1;2
10;25;1;2
40;1;1;2
23;7;1;2
44;13;1;2
15;24;1;2
41;30;1;2
34;7;1;2
28;34;1;2
25;36;1;2
2;31;1;2
50;44;1;2
4;13;1;2
46;50;1;2
6;8;1;2
14;30;1;2
36;1;1;2
48;45;1;2
21;48;1;2
29;19;1;2
44;35;1;2
46;33;1;2
7;43;1;2
35;7;1;2
48;17;1;2
50;18;1;2
4;8;1;2
37;10;1;2
40;43;1;2
30;11;1;2
9;17;1;2
19;42;1;2
10;1;1;2
38;38;1;2
0;1;38;115
1;2;23;231
2;1;9;405
3;2;26;533
4;2;3;620
5;1;28;723
6;2;49;860
7;2;20;1038
8;2;14;1129
9;1;25;1281
10;2;34;1408
11;2;34;1598
12;2;23;1783
13;2;22;1953
14;1;15;2083
15;1;57;2209
16;1;43;2424
17;1;28;2532
18;1;22;2719
19;2;34;2896
20;1;47;3070
21;2;32;3179
22;2;44;3359
23;1;10;3473
24;2;39;3566
25;1;21;3710
26;1;36;3804
27;1;53;3976
28;1;22;4150
29;2;10;4232
30;1;59;4376
31;2;44;4527
32;2;8;4710
33;2;2;4786
34;1;7;4878
35;1;38;4990
36;2;22;5147
37;1;44;5261
38;1;59;5419
39;2;60;5557
40;2;1;5721
41;1;53;5880
42;2;23;6075
43;2;32;6162
